"bibliography.congress classifications","bibliography.languages","bibliography.subjects","bibliography.title","bibliography.type","metadata.downloads","metadata.id","metadata.rank","metadata.url","bibliography.author.birth","bibliography.author.death","bibliography.author.name","bibliography.publication.day","bibliography.publication.full","bibliography.publication.month","bibliography.publication.month name","bibliography.publication.year","metadata.formats.total","metadata.formats.types","metrics.difficulty.automated readability index","metrics.difficulty.coleman liau index","metrics.difficulty.dale chall readability score","metrics.difficulty.difficult words","metrics.difficulty.flesch kincaid grade","metrics.difficulty.flesch reading ease","metrics.difficulty.gunning fog","metrics.difficulty.linsear write formula","metrics.difficulty.smog index","metrics.sentiments.polarity","metrics.sentiments.subjectivity","metrics.statistics.average letter per word","metrics.statistics.average sentence length","metrics.statistics.average sentence per word","metrics.statistics.characters","metrics.statistics.polysyllables","metrics.statistics.sentences","metrics.statistics.syllables","metrics.statistics.words"
PR,en,"Sisters -- Fiction,Courtship -- Fiction,Social classes -- Fiction,England -- Fiction,Domestic fiction,Young women -- Fiction,Love stories",Pride and Prejudice,Text,36576,1342,1,https://www.gutenberg.org/ebooks/1342,1775,1817,"Austen, Jane",1,"June, 1998",6,June,1998,8,"text/plain,text/plain; charset=us-ascii,application/pdf,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",10.7,10.73,5.7,9032,7.9,70.13,9.200000000000001,13.5,3.1,0.13671337760500446,0.5222391494704692,4.83,18.0,0.05,586794,4603,6511,170648.1,121533
PS,en,"Mentally ill women -- Fiction,Feminist fiction,Psychological fiction,Married women -- Psychology -- Fiction,Sex role -- Fiction",The Yellow Wallpaper,Text,26363,1952,2,https://www.gutenberg.org/ebooks/1952,1860,1935,"Gilman, Charlotte Perkins",1,"November, 1999",11,November,1999,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",7.2,8.0,6.24,714,5.6,81.63,8.0,5.5,3.1,0.054174293365012734,0.5347874264082076,4.41,15.0,0.06,26769,102,385,7686.9,6067
"PZ,PR",en,Fantasy,Alice's Adventures in Wonderland,Text,18882,11,3,https://www.gutenberg.org/ebooks/11,1832,1898,"Carroll, Lewis",1,"March, 1994",3,March,1994,8,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/plain,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/pdf",9.3,9.39,5.93,2425,6.4,79.6,8.8,14.0,3.1,0.04107860874944599,0.49727636711271855,4.65,17.0,0.06,122719,339,1501,33810.3,26389
PR,en,"Monsters -- Fiction;Frankenstein's monster (Fictitious character) -- Fiction;Gothic fiction (Literary genre);Science fiction;Frankenstein, Victor (Fictitious character) -- Fiction;Scientists -- Fiction;Horror tales","Frankenstein; Or, The Modern Prometheus",Text,17128,84,4,https://www.gutenberg.org/ebooks/84,1797,1851,"Shelley, Mary Wollstonecraft",17,"June 17, 2008",6,June,2008,7,"text/html; charset=iso-8859-1,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",12.6,10.68,6.44,7884,9.9,65.05,11.200000000000001,7.0,3.1,0.10090153627465286,0.5395161487551757,4.77,23.0,0.04,357604,2604,3239,106802.1,74959
PT,en,"Psychological fiction,Metamorphosis -- Fiction",Metamorphosis,Text,15683,5200,5,https://www.gutenberg.org/ebooks/5200,1883,1924,"Kafka, Franz",16,"August 16, 2005",8,August,2005,8,"text/plain; charset=us-ascii,text/rtf,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",13.8,9.46,6.37,1947,10.3,69.45,12.8,10.5,3.1,0.041996935670926445,0.47901921546913884,4.56,27.0,0.04,100372,397,800,28752.3,22022
PS,en,"Male friendship -- Fiction;Humorous stories;Missouri -- Fiction;Race relations -- Fiction;Bildungsromans;Finn, Huckleberry (Fictitious character) -- Fiction;Fugitive slaves -- Fiction;Mississippi River -- Fiction;Adventure stories;Runaway children -- Fiction;Boys -- Fiction",Adventures of Huckleberry Finn,Text,15347,76,6,https://www.gutenberg.org/ebooks/76,1835,1910,"Twain, Mark",20,"August 20, 2006",8,August,2006,8,"image/jpeg,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",8.7,8.01,5.59,7087,6.0,86.03,9.600000000000001,2.5,3.1,0.08931925862018178,0.4745187951630081,4.36,19.0,0.05,485099,1180,5792,132642.9,111219
PR,en,"Identity (Psychology) -- Drama,Comedies,England -- Drama,Foundlings -- Drama",The Importance of Being Earnest: A Trivial Comedy for Serious People,Text,13638,844,7,https://www.gutenberg.org/ebooks/844,1854,1900,"Wilde, Oscar",29,"August 29, 2006",8,August,2006,7,"text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain",7.0,9.89,5.96,2387,4.8,78.25,6.0,3.0,3.1,0.10026968514280647,0.534784343060185,4.94,10.0,0.1,101906,555,1994,29187.0,20625
"PZ,PS",en,"Male friendship -- Fiction;Humorous stories;Missouri -- Fiction;Child witnesses -- Fiction;Bildungsromans;Mississippi River Valley -- Fiction;Adventure stories;Runaway children -- Fiction;Boys -- Fiction;Sawyer, Tom (Fictitious character) -- Fiction",The Adventures of Tom Sawyer,Text,13237,74,8,https://www.gutenberg.org/ebooks/74,1835,1910,"Twain, Mark",20,"August 20, 2006",8,August,2006,8,"image/jpeg,text/html; charset=iso-8859-1,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook",8.8,10.15,6.16,7974,5.6,81.63,8.0,4.5,3.1,0.06476107829562262,0.48704844378158596,4.78,15.0,0.06,338075,1488,4594,92593.8,70796
E300,en,"Slaves -- United States -- Biography;Douglass, Frederick, 1818-1895;African American abolitionists -- Biography;Abolitionists -- United States -- Biography","Narrative of the Life of Frederick Douglass, an American Slave",Text,12794,23,9,https://www.gutenberg.org/ebooks/23,1818,1895,"Douglass, Frederick",10,"January 10, 2006",1,January,2006,7,"text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",10.5,9.86,6.48,4894,8.3,69.11,9.600000000000001,7.0,3.1,0.09387813584045827,0.5074296460875009,4.68,19.0,0.05,190493,1226,2062,55913.4,40740
PT,en,"Wives -- Drama,Man-woman relationships -- Drama,Marriage -- Drama,Norwegian drama -- Translations into English",A Doll's House : a play,Text,11625,2542,10,https://www.gutenberg.org/ebooks/2542,1828,1906,"Ibsen, Henrik",1,"March, 2001",3,March,2001,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",5.3,7.98,5.53,2342,3.7,86.71,6.0,4.0,3.1,0.026261727941188452,0.5805215079924373,4.61,10.0,0.1,121943,378,2624,33722.1,26466
PS,en,"Ship captains -- Fiction;Whaling ships -- Fiction;Psychological fiction;Whaling -- Fiction;Whales -- Fiction;Ahab, Captain (Fictitious character) -- Fiction;Sea stories;Adventure stories;Mentally ill -- Fiction","Moby Dick; Or, The Whale",Text,11270,2701,11,https://www.gutenberg.org/ebooks/2701,1819,1891,"Melville, Herman",1,"June, 2001",6,June,2001,7,"text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain",13.4,11.55,6.5,23167,9.9,65.05,11.200000000000001,11.0,3.1,0.08228645346376395,0.4780492613378924,4.92,23.0,0.04,1043045,6639,9104,294744.6,212099
PR,en,"Private investigators -- England -- Fiction;Detective and mystery stories, English;Holmes, Sherlock (Fictitious character) -- Fiction",The Adventures of Sherlock Holmes,Text,11125,1661,12,https://www.gutenberg.org/ebooks/1661,1859,1930,"Doyle, Arthur Conan",14,"October 14, 1892",10,October,1892,8,"application/rdf+xml,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,text/plain",8.2,9.1,5.81,9148,6.0,80.62,8.4,2.5,3.1,0.06259143797439362,0.48668184738715853,4.6,16.0,0.06,480294,1978,6522,137215.8,104488
PR,en,"Revenge -- Fiction,Ex-convicts -- Fiction,Orphans -- Fiction,Bildungsromans,England -- Fiction,Man-woman relationships -- Fiction,Benefactors -- Fiction,Young men -- Fiction",Great Expectations,Text,11068,1400,13,https://www.gutenberg.org/ebooks/1400,1812,1870,"Dickens, Charles",1,"July, 1998",7,July,1998,8,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/html; charset=iso-8859-1,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",9.9,9.34,5.8,14224,7.2,77.57,9.600000000000001,7.5,3.1,0.07798368485830932,0.4906242353128296,4.59,19.0,0.05,845501,4088,9487,240762.6,184398
PR,en,"Male friendship -- Fiction,City and town life -- Fiction,Psychological fiction,Alienation (Social psychology) -- Fiction,Married people -- Fiction,Jewish men -- Fiction,Artists -- Fiction,Epic literature,Domestic fiction,Dublin (Ireland) -- Fiction",Ulysses,Text,10568,4300,14,https://www.gutenberg.org/ebooks/4300,1882,1941,"Joyce, James",1,"July, 2003",7,July,2003,7,"text/html; charset=iso-8859-1,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook",8.6,10.84,6.35,34649,6.0,75.2,7.2,6.0,3.1,0.07123035788724716,0.46306693286286965,4.95,13.0,0.07,1311231,7005,19726,363292.2,264835
PR,en,"War stories;France -- History -- Revolution, 1789-1799 -- Fiction;Paris (France) -- History -- 1789-1799 -- Fiction;French -- England -- London -- Fiction;Executions and executioners -- Fiction;London (England) -- History -- 18th century -- Fiction;British -- France -- Paris -- Fiction;Historical fiction;Lookalikes -- Fiction",A Tale of Two Cities,Text,10312,98,15,https://www.gutenberg.org/ebooks/98,1812,1870,"Dickens, Charles",1,"January, 1994",1,January,1994,8,"application/rdf+xml,text/html; charset=iso-8859-1,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",10.3,10.44,6.0,12613,6.8,78.59,9.200000000000001,56.0,3.1,0.07806610204565802,0.4904532055717023,4.78,18.0,0.05,649070,3256,7396,183016.8,135820
PR,en,"Ireland -- Politics and government -- 18th century -- Humor;Religious satire, English;Political satire, English","A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",Text,10014,1080,16,https://www.gutenberg.org/ebooks/1080,1667,1745,"Swift, Jonathan",1,October 1997,10,October,1997,6,"text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",26.6,11.91,9.24,674,20.4,37.65,22.0,18.0,8.8,0.1756914585039587,0.5064583455208455,4.88,50.0,0.02,16656,86,68,4864.5,3410
PR,en,"Dracula, Count (Fictitious character) -- Fiction;Epistolary fiction;Vampires -- Fiction;Gothic fiction (Literary genre);Transylvania (Romania) -- Fiction;Whitby (England) -- Fiction;Horror tales",Dracula,Text,9852,345,17,https://www.gutenberg.org/ebooks/345,1847,1912,"Stoker, Bram",16,"August 16, 2013",8,August,2013,9,"image/jpeg,text/html; charset=utf-8,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain",8.8,8.3,5.65,11445,6.8,78.59,9.200000000000001,18.0,3.1,0.075270589540311,0.5030392097632636,4.41,18.0,0.05,708335,2338,8522,202932.9,160693
JC,en,"Political ethics -- Early works to 1800;Political science -- Philosophy -- Early works to 1800;State, The -- Early works to 1800",The Prince,Text,9690,1232,18,https://www.gutenberg.org/ebooks/1232,1469,1527,"Machiavelli, Niccolo",11,"February 11, 2006",2,February,2006,7,"text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain",20.6,11.33,7.23,5367,15.8,49.83,17.2,6.5,8.8,0.1465468177804127,0.5204133612464581,4.83,38.0,0.03,239378,1905,1287,71705.7,49525
PR,en,"London (England) -- History -- 1800-1950 -- Fiction;Conduct of life -- Fiction;Paranormal fiction;Portraits -- Fiction;Appearance (Philosophy) -- Fiction;Supernatural -- Fiction;Great Britain -- History -- Victoria, 1837-1901 -- Fiction;Didactic fiction",The Picture of Dorian Gray,Text,9681,174,19,https://www.gutenberg.org/ebooks/174,1854,1900,"Wilde, Oscar",9,"June 9, 2008",6,June,2008,7,"text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain",6.7,8.69,5.74,7523,4.4,84.68,6.800000000000001,4.5,3.1,0.06991381964989916,0.5458973341303766,4.63,12.0,0.08,365606,1647,6234,105003.9,78920
PG,en,"War stories;Napoleonic Wars, 1800-1815 -- Campaigns -- Russia -- Fiction;Aristocracy (Social class) -- Russia -- Fiction;Historical fiction;Russia -- History -- Alexander I, 1801-1825 -- Fiction",War and Peace,Text,9580,2600,20,https://www.gutenberg.org/ebooks/2600,1828,1910,"Tolstoy, Leo, graf",1,"January 1, 1870",1,January,1870,7,"text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/html; charset=us-ascii",10.8,11.14,5.36,29647,7.9,70.13,9.200000000000001,53.0,3.1,0.08206641711733968,0.47401511558244336,4.9,18.0,0.05,2759940,16369,30757,787942.8,563029
PR,en,"Fathers and daughters -- Fiction,Humorous stories,Bildungsromans,England -- Fiction,Mate selection -- Fiction,Female friendship -- Fiction,Young women -- Fiction,Love stories",Emma,Text,8513,158,23,https://www.gutenberg.org/ebooks/158,1775,1817,"Austen, Jane",1,"August, 1994",8,August,1994,8,"text/plain,text/html; charset=us-ascii,text/plain; charset=us-ascii,application/pdf,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",9.6,10.26,5.68,12447,7.2,72.16,8.4,18.0,3.1,0.157109182497322,0.5423073450027583,4.8,16.0,0.06,755056,4851,9348,216434.7,157439
PR,en,"Dragons -- Poetry;Epic poetry, English (Old);Monsters -- Poetry",Beowulf: An Anglo-Saxon Epic Poem,Text,8199,16328,24,https://www.gutenberg.org/ebooks/16328,0,0,Unknown,19,"July 19, 2005",7,July,2005,8,"text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",13.3,14.03,7.5,7311,7.9,70.13,9.200000000000001,8.0,3.1,0.13712860361621118,0.5371790132759954,5.45,18.0,0.06,211970,900,2142,54235.8,38925
PQ,en,"Paris (France) -- Fiction,Ex-convicts -- Fiction,Epic literature,Orphans -- Fiction,Historical fiction",Les Misérables,Text,7900,135,25,https://www.gutenberg.org/ebooks/135,1802,1885,"Hugo, Victor",22,"June 22, 2008",6,June,2008,5,"text/html; charset=utf-8,application/rdf+xml,application/epub+zip,image/jpeg,application/x-mobipocket-ebook",10.2,11.02,5.51,38795,7.2,72.16,8.4,6.5,3.1,0.0777559225920661,0.494210060487325,4.93,16.0,0.06,2783024,17239,33543,790112.7,565071
PR,en,"Country homes -- Fiction,Fathers and daughters -- Fiction,Charity-schools -- Fiction,Orphans -- Fiction,Bildungsromans,England -- Fiction,Married people -- Fiction,Mentally ill women -- Fiction,Governesses -- Fiction,Young women -- Fiction,Love stories",Jane Eyre: An Autobiography,Text,7449,1260,27,https://www.gutenberg.org/ebooks/1260,1816,1855,"Bronte, Charlotte",29,"April 29, 2007",4,April,2007,6,"text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",10.4,10.1,6.17,18723,8.3,69.11,9.600000000000001,8.5,3.1,0.0841139886145198,0.5025611302873831,4.72,19.0,0.05,876153,4697,9674,250376.4,185452
PS,en,American poetry -- 19th century,Leaves of Grass,Text,6899,1322,28,https://www.gutenberg.org/ebooks/1322,1819,1892,"Whitman, Walt",1,"May, 1998",5,May,1998,6,"text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",19.1,12.25,7.34,15547,14.2,53.89,15.600000000000001,26.0,3.1,0.14474490574127938,0.5076378089163257,4.99,34.0,0.03,607831,2727,3570,165151.8,121711
PR,en,"Short stories,Dublin (Ireland) -- Fiction",Dubliners,Text,6879,2814,29,https://www.gutenberg.org/ebooks/2814,1882,1941,"Joyce, James",1,"September, 2001",9,September,2001,6,"text/html; charset=utf-8,text/plain; charset=utf-8,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",8.0,9.21,6.0,7147,5.2,82.65,7.6000000000000005,17.0,3.1,0.06809492924074417,0.47237120583594877,4.67,14.0,0.07,315667,1148,4530,88344.0,67546
PR,en,"Gentry -- England -- Fiction,Sisters -- Fiction,Social classes -- Fiction,England -- Social life and customs -- 19th century -- Fiction,England -- Fiction,Mate selection -- Fiction,Regency fiction,Inheritance and succession -- Fiction,Domestic fiction,Young women -- Fiction,Love stories",Sense and Sensibility,Text,6503,161,30,https://www.gutenberg.org/ebooks/161,1775,1817,"Austen, Jane",25,"May 25, 2008",5,May,2008,8,"application/x-mobipocket-ebook,text/html; charset=iso-8859-1,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/pdf",12.3,10.85,5.9,9203,9.1,67.08,10.4,13.5,3.1,0.131879813586973,0.5325451309613446,4.85,21.0,0.05,574844,3913,5447,167003.1,118578
JC,en,"Political science -- Early works to 1800;State, The -- Early works to 1800",Leviathan,Text,6411,3207,31,https://www.gutenberg.org/ebooks/3207,1588,1679,"Hobbes, Thomas",1,"May, 2002",5,May,2002,7,"text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",20.6,11.56,6.72,16169,15.8,49.83,17.2,11.0,8.8,0.11616782697752301,0.46430038311161786,4.87,38.0,0.03,1038638,7741,5581,305930.7,213304
PR,en,"Self-experimentation in medicine -- Fiction,Psychological fiction,Multiple personality -- Fiction,Physicians -- Fiction,London (England) -- Fiction,Science fiction,Horror tales",The Strange Case of Dr. Jekyll and Mr. Hyde,Text,6410,42,32,https://www.gutenberg.org/ebooks/42,1850,1894,"Stevenson, Robert Louis",1,"October, 1992",10,October,1992,7,"text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain",11.0,9.63,6.82,3485,7.9,75.54,10.4,7.5,3.1,0.06787933764993412,0.4877173556522048,4.64,21.0,0.05,119352,545,1215,34174.8,25740
"PR,PZ",en,"Treasure Island (Imaginary place) -- Fiction,Pirates -- Fiction,Treasure troves -- Fiction,Sea stories",Treasure Island,Text,6396,120,33,https://www.gutenberg.org/ebooks/120,1850,1894,"Stevenson, Robert Louis",25,"February 25, 2006",2,February,2006,8,"application/x-mobipocket-ebook,image/jpeg,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",9.2,8.88,5.96,6192,6.8,78.59,9.200000000000001,18.0,3.1,0.07407747334028003,0.47350471800100735,4.51,18.0,0.05,307677,782,3625,85782.6,68267
PR,en,"Revenge -- Fiction,Psychological fiction,Foundlings -- Fiction,Heathcliff (Fictitious character : Brontë) -- Fiction,Triangles (Interpersonal relations) -- Fiction,Rural families -- Fiction,Domestic fiction,Rejection (Psychology) -- Fiction,Yorkshire (England) -- Fiction,Love stories",Wuthering Heights,Text,6237,768,34,https://www.gutenberg.org/ebooks/768,1818,1848,"Bronte, Emily",19,"April 19, 2007",4,April,2007,7,"text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain",9.9,10.09,6.07,11639,6.4,79.6,8.8,5.0,3.1,0.04585489516510218,0.510068286883796,4.77,17.0,0.06,552364,2750,6524,156315.6,115874
PR,en,"Africa -- Fiction,Psychological fiction,Imperialism -- Fiction,Trading posts -- Fiction,Europeans -- Africa -- Fiction,Degeneration -- fiction",Heart of Darkness,Text,5875,219,35,https://www.gutenberg.org/ebooks/219,1857,1924,"Conrad, Joseph",1,February 1995,2,February,1995,7,"text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain",9.0,9.8,6.68,5407,7.2,72.16,8.4,13.0,3.1,0.04901319630088766,0.5026182298220377,4.72,16.0,0.06,178939,1128,2309,51631.2,37902
PQ,en,"Adventure stories;Revenge -- Fiction;France -- History -- 19th century -- Fiction;Pirates -- Fiction;Historical fiction;Prisoners -- Fiction;Dantès, Edmond (Fictitious character) -- Fiction","The Count of Monte Cristo, Illustrated",Text,5861,1184,36,https://www.gutenberg.org/ebooks/1184,1802,1870,"Dumas, Alexandre",1,"January, 1998",1,January,1998,7,"application/x-mobipocket-ebook,image/jpeg,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/rdf+xml,application/epub+zip,text/plain",10.8,11.14,5.51,28477,7.9,70.13,9.200000000000001,13.5,3.1,0.09324194609829525,0.4975364718118205,4.9,18.0,0.05,2248795,13018,25116,638292.6,459021
PR,en,"Fantasy fiction;Satire;Voyages, Imaginary -- Early works to 1800;Travelers -- Fiction;Gulliver, Lemuel (Fictitious character) -- Fiction",Gulliver's Travels into Several Remote Nations of the World,Text,5752,829,37,https://www.gutenberg.org/ebooks/829,1667,1745,"Swift, Jonathan",15,"June 15, 2009",6,June,2009,6,"text/html,text/plain; charset=utf-8,text/plain; charset=us-ascii,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",19.3,10.63,6.89,9363,15.4,50.84,16.8,4.0,8.8,0.11480158865025024,0.47662289873120817,4.71,37.0,0.03,491558,2822,2818,144955.8,104293
PS,en,"Louisiana -- Social life and customs -- Fiction,Women -- Louisiana -- New Orleans -- Social conditions -- Fiction,New Orleans (La.) -- Fiction,Self-actualization (Psychology) -- Fiction,Adultery -- Fiction","The Awakening, and Selected Short Stories",Text,5702,160,38,https://www.gutenberg.org/ebooks/160,1850,1904,"Chopin, Kate",11,"March 11, 2006",3,March,2006,7,"text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",8.8,10.08,6.1,6963,6.8,73.17,8.0,18.5,3.1,0.0958378068054441,0.4823495632383955,4.82,15.0,0.07,308607,1688,4264,87984.0,63991
"PZ,PR",en,"Peter Pan (Fictitious character) -- Fiction,Fantasy,Fairies -- Juvenile fiction,Never-Never Land (Imaginary place) -- Fiction,Pirates -- Juvenile fiction",Peter Pan,Text,5657,16,39,https://www.gutenberg.org/ebooks/16,1860,1937,"Barrie, J. M. (James Matthew)",1,"July, 1991",7,July,1991,7,"text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",8.2,9.34,5.91,4608,5.6,81.63,8.0,12.5,3.1,0.0908218570698009,0.5243416869206348,4.64,15.0,0.06,220012,686,3054,60405.3,47437
PT,en,"Buddhist philosophy -- Fiction,Religious fiction,Buddhism -- Fiction,India -- Fiction,Gautama Buddha -- Fiction",Siddhartha,Text,5483,2500,40,https://www.gutenberg.org/ebooks/2500,1877,1962,"Hesse, Hermann",6,"April 6, 2008",4,April,2008,8,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/html; charset=iso-8859-1,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",11.5,10.04,6.08,3481,9.1,67.08,10.4,17.0,3.1,0.15748246437739877,0.5129865197688851,4.71,21.0,0.05,184183,817,1820,52859.7,39139
"PA,JC",en,"Utopias -- Early works to 1800,Justice -- Early works to 1800,Political science -- Early works to 1800,Classical literature",The Republic,Text,5360,1497,41,https://www.gutenberg.org/ebooks/1497,-428,-348,Plato,1,"October, 1998",10,October,1998,7,"text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",14.3,10.45,6.01,14787,11.1,62.01,12.4,14.0,3.1,0.14313108039777567,0.5215148170441171,4.73,26.0,0.04,1022560,7886,8025,302949.9,216169
E300,en,"Statesmen -- United States -- Biography;Franklin, Benjamin, 1706-1790",Autobiography of Benjamin Franklin,Text,5169,20203,42,https://www.gutenberg.org/ebooks/20203,1706,1790,"Franklin, Benjamin",28,"December 28, 2006",12,December,2006,9,"image/jpeg,text/html; charset=iso-8859-1,text/plain,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",15.7,11.38,6.89,8971,11.8,59.98,13.200000000000001,7.5,8.8,0.14349507113184382,0.4669560103725871,4.89,28.0,0.04,371844,2885,2699,106481.7,75983
PR,en,"Atlantic Ocean -- Fiction;Crusoe, Robinson (Fictitious character) -- Fiction;Adventure stories;Shipwreck survival -- Fiction;Castaways -- Fiction;Islands -- Fiction",The Life and Adventures of Robinson Crusoe,Text,5140,521,43,https://www.gutenberg.org/ebooks/521,0,1731,"Defoe, Daniel",6,"April 6, 2010",4,April,2010,7,"text/html,text/plain; charset=utf-8,text/plain; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",24.0,8.55,7.0,6734,19.3,46.11,22.0,7.5,3.1,0.10530021393955503,0.47691803683950124,4.3,50.0,0.02,519352,2113,2396,153371.7,120813
PR,en,"Pastoral poetry,English poetry -- 18th century","Songs of Innocence, and Songs of Experience",Text,5115,1934,44,https://www.gutenberg.org/ebooks/1934,1757,1827,"Blake, William",25,"December 25, 2008",12,December,2008,7,"text/html,text/plain; charset=utf-8,text/plain; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",11.2,10.68,6.52,690,6.0,86.03,9.600000000000001,13.5,3.1,0.13704874290797575,0.5125445559491018,4.82,19.0,0.05,27028,24,283,6803.1,5602
PQ,en,French essays -- Translations into English,Essays of Michel de Montaigne — Complete,Text,5056,3600,45,https://www.gutenberg.org/ebooks/3600,1533,1592,"Montaigne, Michel de",17,"September 17, 2006",9,September,2006,8,"application/x-mobipocket-ebook,image/jpeg,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",20.5,11.09,6.61,36163,15.8,49.83,17.2,11.0,8.8,0.1433959400389251,0.5253461387990033,4.79,38.0,0.03,2518187,17948,13566,745985.7,525749
PQ,en,"Epic poetry, Italian -- Translations into English;Italian poetry -- To 1400 -- Translations into English","The Divine Comedy by Dante, Illustrated",Text,4973,8800,46,https://www.gutenberg.org/ebooks/8800,1265,1321,Dante Alighieri,1,"September, 2005",9,September,2005,8,"image/jpeg,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,application/x-mobipocket-ebook",13.9,11.09,6.62,12004,9.5,71.48,12.0,26.5,3.1,0.10851235681394195,0.49442483431831064,4.84,25.0,0.04,525296,931,4318,138464.1,108513
